127.0.0.1 - - [24/Dec/2023:18:40:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:09 +0900] "GET /main/main.jsp HTTP/1.1" 200 8283
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:09 +0900] "GET /resources/css/header.css HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:09 +0900] "GET /resources/css/main.css HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:09 +0900] "GET /resources/css/footer.css HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:19 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:19 +0900] "GET /resources/css/product/productList.css HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:19 +0900] "GET /resources/js/product/productList.js HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:21 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:40:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:39 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:41 +0900] "GET /sub_category_products.do?category=1&sub_category=1 HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:42 +0900] "GET /sub_category_products.do?category=1&sub_category=2 HTTP/1.1" 200 7864
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:42 +0900] "GET /sub_category_products.do?category=1&sub_category=3 HTTP/1.1" 200 7389
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:43 +0900] "GET /category_products.do?category=2 HTTP/1.1" 200 18818
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:44 +0900] "GET /category_products.do?category=2 HTTP/1.1" 200 18818
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:45 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:47 +0900] "GET /category_products.do?category=2 HTTP/1.1" 200 18818
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:48 +0900] "GET /sub_category_products.do?category=2&sub_category=6 HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:48 +0900] "GET /category_products.do?category=2 HTTP/1.1" 200 18818
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:49 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:50 +0900] "GET /main.do HTTP/1.1" 200 8283
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:52 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:53 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:55 +0900] "GET /product.do?product_num=4 HTTP/1.1" 200 11397
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:55 +0900] "GET /resources/css/product/product.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:45:55 +0900] "GET /resources/js/product/product.js HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:19 +0900] "GET /product.do?product_num=4 HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:24 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:25 +0900] "GET /product.do?product_num=4 HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:43 +0900] "GET /product.do?product_num=4 HTTP/1.1" 200 11427
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:49 +0900] "GET /product.do?product_num=4 HTTP/1.1" 200 11424
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:52 +0900] "GET /product.do?product_num=4 HTTP/1.1" 200 11424
0:0:0:0:0:0:0:1 - - [24/Dec/2023:18:47:56 +0900] "GET /category_products.do?category=1 HTTP/1.1" 200 16910
